frame,X,Y,Xs,Ys,inliers,ref_idx,mode
1,0.34651997768384607,0.44392259348740687,0.34651997768384607,0.44392259348740687,41,0,ref
2,0.3428007257598106,0.43910684237863584,0.3428007257598106,0.43910684237863584,43,3,ref
3,0.3374638663609383,0.43882367835851105,0.3374638663609383,0.43882367835851105,52,3,ref
4,0.3318720123500684,0.4436253930606277,0.3318720123500684,0.4436253930606277,43,0,ref
5,0.3280657135757437,0.4433870686987988,0.3280657135757437,0.4433870686987988,40,0,ref
6,0.3260241994750527,0.4434547844994738,0.3260241994750527,0.4434547844994738,48,0,ref
7,0.32555636173836255,0.43909167177839503,0.32555636173836255,0.43909167177839503,50,3,ref
8,0.32166301497297006,0.44392253339075805,0.32166301497297006,0.44392253339075805,57,0,ref
9,0.3184742967231793,0.44379393902675157,0.3184742967231793,0.44379393902675157,51,0,ref
10,0.31543530387083707,0.44440446188812915,0.31543530387083707,0.44440446188812915,51,0,ref
11,0.31326491040497406,0.4448942650955022,0.31326491040497406,0.4448942650955022,49,0,ref
12,0.31007732582243647,0.4441679546702953,0.31007732582243647,0.4441679546702953,55,0,ref
